N   AUC
2	0.909338999871
3	0.886031358147
4	0.862658889014
5	0.830827451656
6	0.832200978324
7	0.784172917664
8	0.805486857187
9	0.815793498517
10	0.788144977429
11	0.806651239588
12	0.790258452213
13	0.790931879573
14	0.789519378507
15	0.771190394712
16	0.789480840574
17	0.769944980247
18	0.812550778044
19	0.792523479114
20	0.778605821706
21	0.770198750699
22	0.791006997727
23	0.82470272873
24	0.813217446363
25	0.796396579682
26	0.778696394074
27	0.776700234721
28	0.785156129397
29	0.774157204462
30	nan
